"No.","Time","Source","Destination","Protocol","Length","Info"
"58","13.075533","::1","::1","TCP","94","80  >  33170 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131630376 TSecr=1131630376 WS=128"
"59","13.075549","::1","::1","TCP","86","33170  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131630376 TSecr=1131630376"
"60","13.075583","::1","::1","HTTP","225","GET /backup/ HTTP/1.1 "
"61","13.075617","::1","::1","TCP","86","80  >  33170 [ACK] Seq=1 Ack=140 Win=65408 Len=0 TSval=1131630376 TSecr=1131630376"
"62","13.076116","::1","::1","HTTP","518","HTTP/1.1 404 Not Found  (text/html)"
"63","13.076178","::1","::1","TCP","86","33170  >  80 [ACK] Seq=140 Ack=433 Win=65152 Len=0 TSval=1131630376 TSecr=1131630376"
"64","13.076496","::1","::1","TCP","86","33170  >  80 [FIN, ACK] Seq=140 Ack=433 Win=65536 Len=0 TSval=1131630377 TSecr=1131630376"
"65","13.076621","::1","::1","TCP","86","80  >  33170 [FIN, ACK] Seq=433 Ack=141 Win=65536 Len=0 TSval=1131630377 TSecr=1131630377"
"66","13.076646","::1","::1","TCP","86","33170  >  80 [ACK] Seq=141 Ack=434 Win=65536 Len=0 TSval=1131630377 TSecr=1131630377"
"67","15.090339","::1","::1","TCP","94","33184  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131632390 TSecr=0 WS=128"
"68","15.090355","::1","::1","TCP","94","80  >  33184 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131632390 TSecr=1131632390 WS=128"
"69","15.090368","::1","::1","TCP","86","33184  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131632391 TSecr=1131632390"
"70","15.090399","::1","::1","HTTP","230","GET /config/ HTTP/1.1 "
"71","15.090430","::1","::1","TCP","86","80  >  33184 [ACK] Seq=1 Ack=145 Win=65408 Len=0 TSval=1131632391 TSecr=1131632391"
"72","15.090681","::1","::1","HTTP","518","HTTP/1.1 404 Not Found  (text/html)"
"73","15.090695","::1","::1","TCP","86","33184  >  80 [ACK] Seq=145 Ack=433 Win=65152 Len=0 TSval=1131632391 TSecr=1131632391"
"74","15.090786","::1","::1","TCP","86","33184  >  80 [FIN, ACK] Seq=145 Ack=433 Win=65536 Len=0 TSval=1131632391 TSecr=1131632391"
"75","15.090859","::1","::1","TCP","86","80  >  33184 [FIN, ACK] Seq=433 Ack=146 Win=65536 Len=0 TSval=1131632391 TSecr=1131632391"
"76","15.090874","::1","::1","TCP","86","33184  >  80 [ACK] Seq=146 Ack=434 Win=65536 Len=0 TSval=1131632391 TSecr=1131632391"
"77","19.100382","::1","::1","TCP","94","40388  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131636401 TSecr=0 WS=128"
"78","19.100394","::1","::1","TCP","94","80  >  40388 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131636401 TSecr=1131636401 WS=128"
"79","19.100404","::1","::1","TCP","86","40388  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131636401 TSecr=1131636401"
"80","19.100429","::1","::1","HTTP","227","GET /database/ HTTP/1.1 "
"81","19.100455","::1","::1","TCP","86","80  >  40388 [ACK] Seq=1 Ack=142 Win=65408 Len=0 TSval=1131636401 TSecr=1131636401"
"82","19.100661","::1","::1","HTTP","518","HTTP/1.1 404 Not Found  (text/html)"
"83","19.100676","::1","::1","TCP","86","40388  >  80 [ACK] Seq=142 Ack=433 Win=65152 Len=0 TSval=1131636401 TSecr=1131636401"
"84","19.100765","::1","::1","TCP","86","40388  >  80 [FIN, ACK] Seq=142 Ack=433 Win=65536 Len=0 TSval=1131636401 TSecr=1131636401"
"85","19.100821","::1","::1","TCP","86","80  >  40388 [FIN, ACK] Seq=433 Ack=143 Win=65536 Len=0 TSval=1131636401 TSecr=1131636401"
"86","19.100833","::1","::1","TCP","86","40388  >  80 [ACK] Seq=143 Ack=434 Win=65536 Len=0 TSval=1131636401 TSecr=1131636401"
"87","21.115510","127.0.0.1","127.0.0.1","TCP","66","[TCP Keep-Alive] 20201  >  45674 [ACK] Seq=3782 Ack=365 Win=512 Len=0 TSval=2286968004 TSecr=2286952994"
"88","21.115525","127.0.0.1","127.0.0.1","TCP","66","[TCP Window Update] 45674  >  20201 [ACK] Seq=365 Ack=3783 Win=512 Len=0 TSval=2286968004 TSecr=2286952994"
"89","21.115538","127.0.0.1","127.0.0.1","TCP","66","[TCP Keep-Alive] 45674  >  20201 [ACK] Seq=364 Ack=3783 Win=512 Len=0 TSval=2286968004 TSecr=2286952994"
"90","21.115544","127.0.0.1","127.0.0.1","TCP","66","[TCP Keep-Alive ACK] 20201  >  45674 [ACK] Seq=3783 Ack=365 Win=512 Len=0 TSval=2286968004 TSecr=2286968004"
"91","22.111988","::1","::1","TCP","94","40404  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131639412 TSecr=0 WS=128"
"92","22.112004","::1","::1","TCP","94","80  >  40404 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131639412 TSecr=1131639412 WS=128"
"93","22.112018","::1","::1","TCP","86","40404  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131639412 TSecr=1131639412"
"94","22.112048","::1","::1","HTTP","263","GET /api/ HTTP/1.1 "
"95","22.112083","::1","::1","TCP","86","80  >  40404 [ACK] Seq=1 Ack=178 Win=65408 Len=0 TSval=1131639412 TSecr=1131639412"
"96","22.112503","::1","::1","HTTP","1180","HTTP/1.1 200 OK  (text/html)"
"97","22.112517","::1","::1","TCP","86","40404  >  80 [ACK] Seq=178 Ack=1095 Win=64512 Len=0 TSval=1131639413 TSecr=1131639413"
"98","22.112609","::1","::1","TCP","86","40404  >  80 [FIN, ACK] Seq=178 Ack=1095 Win=65536 Len=0 TSval=1131639413 TSecr=1131639413"
"99","22.112649","::1","::1","TCP","86","80  >  40404 [FIN, ACK] Seq=1095 Ack=179 Win=65536 Len=0 TSval=1131639413 TSecr=1131639413"
"100","22.112663","::1","::1","TCP","86","40404  >  80 [ACK] Seq=179 Ack=1096 Win=65536 Len=0 TSval=1131639413 TSecr=1131639413"
"101","26.124464","::1","::1","TCP","94","40410  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131643425 TSecr=0 WS=128"
"102","26.124481","::1","::1","TCP","94","80  >  40410 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131643425 TSecr=1131643425 WS=128"
"103","26.124495","::1","::1","TCP","86","40410  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131643425 TSecr=1131643425"
"104","26.124527","::1","::1","HTTP","273","GET /uploads/ HTTP/1.1 "
"105","26.124560","::1","::1","TCP","86","80  >  40410 [ACK] Seq=1 Ack=188 Win=65280 Len=0 TSval=1131643425 TSecr=1131643425"
"106","26.125157","::1","::1","HTTP","997","HTTP/1.1 200 OK  (text/html)"
"107","26.125173","::1","::1","TCP","86","40410  >  80 [ACK] Seq=188 Ack=912 Win=64640 Len=0 TSval=1131643425 TSecr=1131643425"
"108","26.125280","::1","::1","TCP","86","40410  >  80 [FIN, ACK] Seq=188 Ack=912 Win=65536 Len=0 TSval=1131643425 TSecr=1131643425"
"109","26.125349","::1","::1","TCP","86","80  >  40410 [FIN, ACK] Seq=912 Ack=189 Win=65536 Len=0 TSval=1131643425 TSecr=1131643425"
"110","26.125363","::1","::1","TCP","86","40410  >  80 [ACK] Seq=189 Ack=913 Win=65536 Len=0 TSval=1131643425 TSecr=1131643425"
"111","30.138956","::1","::1","TCP","94","35008  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131647439 TSecr=0 WS=128"
"112","30.138974","::1","::1","TCP","94","80  >  35008 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131647439 TSecr=1131647439 WS=128"
"113","30.138989","::1","::1","TCP","86","35008  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131647439 TSecr=1131647439"
"114","30.139025","::1","::1","HTTP","233","GET /downloads/ HTTP/1.1 "
"115","30.139061","::1","::1","TCP","86","80  >  35008 [ACK] Seq=1 Ack=148 Win=65408 Len=0 TSval=1131647439 TSecr=1131647439"
"116","30.139385","::1","::1","HTTP","518","HTTP/1.1 404 Not Found  (text/html)"
"117","30.139399","::1","::1","TCP","86","35008  >  80 [ACK] Seq=148 Ack=433 Win=65152 Len=0 TSval=1131647440 TSecr=1131647439"
"118","30.139510","::1","::1","TCP","86","35008  >  80 [FIN, ACK] Seq=148 Ack=433 Win=65536 Len=0 TSval=1131647440 TSecr=1131647439"
"119","30.139569","::1","::1","TCP","86","80  >  35008 [FIN, ACK] Seq=433 Ack=149 Win=65536 Len=0 TSval=1131647440 TSecr=1131647440"
"120","30.139587","::1","::1","TCP","86","35008  >  80 [ACK] Seq=149 Ack=434 Win=65536 Len=0 TSval=1131647440 TSecr=1131647440"
"121","34.154835","::1","::1","TCP","94","35012  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131651455 TSecr=0 WS=128"
"122","34.154853","::1","::1","TCP","94","80  >  35012 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131651455 TSecr=1131651455 WS=128"
"123","34.154868","::1","::1","TCP","86","35012  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131651455 TSecr=1131651455"
"124","34.154899","::1","::1","HTTP","269","GET /config.php HTTP/1.1 "
"125","34.154933","::1","::1","TCP","86","80  >  35012 [ACK] Seq=1 Ack=184 Win=65408 Len=0 TSval=1131651455 TSecr=1131651455"
"126","34.155208","::1","::1","HTTP","518","HTTP/1.1 404 Not Found  (text/html)"
"127","34.155223","::1","::1","TCP","86","35012  >  80 [ACK] Seq=184 Ack=433 Win=65152 Len=0 TSval=1131651455 TSecr=1131651455"
"128","34.155322","::1","::1","TCP","86","35012  >  80 [FIN, ACK] Seq=184 Ack=433 Win=65536 Len=0 TSval=1131651455 TSecr=1131651455"
"129","34.155414","::1","::1","TCP","86","80  >  35012 [FIN, ACK] Seq=433 Ack=185 Win=65536 Len=0 TSval=1131651456 TSecr=1131651455"
"130","34.155429","::1","::1","TCP","86","35012  >  80 [ACK] Seq=185 Ack=434 Win=65536 Len=0 TSval=1131651456 TSecr=1131651456"
"131","36.219476","127.0.0.1","127.0.0.1","TCP","66","[TCP Keep-Alive] 20201  >  45674 [ACK] Seq=3782 Ack=365 Win=512 Len=0 TSval=2286983108 TSecr=2286968004"
"132","36.219477","127.0.0.1","127.0.0.1","TCP","66","[TCP Keep-Alive] 45674  >  20201 [ACK] Seq=364 Ack=3783 Win=512 Len=0 TSval=2286983108 TSecr=2286968004"
"133","36.219487","127.0.0.1","127.0.0.1","TCP","66","[TCP Keep-Alive ACK] 20201  >  45674 [ACK] Seq=3783 Ack=365 Win=512 Len=0 TSval=2286983108 TSecr=2286968004"
"134","36.219487","127.0.0.1","127.0.0.1","TCP","66","[TCP Dup ACK 33#1] 45674  >  20201 [ACK] Seq=365 Ack=3783 Win=512 Len=0 TSval=2286983108 TSecr=2286968004"
"135","37.165347","::1","::1","TCP","94","35018  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131654465 TSecr=0 WS=128"
"136","37.165358","::1","::1","TCP","94","80  >  35018 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131654466 TSecr=1131654465 WS=128"
"137","37.165368","::1","::1","TCP","86","35018  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131654466 TSecr=1131654466"
"138","37.165393","::1","::1","HTTP","248","GET /database.php HTTP/1.1 "
"139","37.165418","::1","::1","TCP","86","80  >  35018 [ACK] Seq=1 Ack=163 Win=65408 Len=0 TSval=1131654466 TSecr=1131654466"
"140","37.165602","::1","::1","HTTP","518","HTTP/1.1 404 Not Found  (text/html)"
"141","37.165614","::1","::1","TCP","86","35018  >  80 [ACK] Seq=163 Ack=433 Win=65152 Len=0 TSval=1131654466 TSecr=1131654466"
"142","37.165717","::1","::1","TCP","86","35018  >  80 [FIN, ACK] Seq=163 Ack=433 Win=65536 Len=0 TSval=1131654466 TSecr=1131654466"
"143","37.165774","::1","::1","TCP","86","80  >  35018 [FIN, ACK] Seq=433 Ack=164 Win=65536 Len=0 TSval=1131654466 TSecr=1131654466"
"144","37.165786","::1","::1","TCP","86","35018  >  80 [ACK] Seq=164 Ack=434 Win=65536 Len=0 TSval=1131654466 TSecr=1131654466"
"145","40.180534","::1","::1","TCP","94","38388  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131657481 TSecr=0 WS=128"
"146","40.180551","::1","::1","TCP","94","80  >  38388 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131657481 TSecr=1131657481 WS=128"
"147","40.180565","::1","::1","TCP","86","38388  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131657481 TSecr=1131657481"
"148","40.180597","::1","::1","HTTP","227","GET /admin.php HTTP/1.1 "
"149","40.180633","::1","::1","TCP","86","80  >  38388 [ACK] Seq=1 Ack=142 Win=65408 Len=0 TSval=1131657481 TSecr=1131657481"
"150","40.180887","::1","::1","HTTP","518","HTTP/1.1 404 Not Found  (text/html)"
"151","40.180904","::1","::1","TCP","86","38388  >  80 [ACK] Seq=142 Ack=433 Win=65152 Len=0 TSval=1131657481 TSecr=1131657481"
"152","40.181007","::1","::1","TCP","86","38388  >  80 [FIN, ACK] Seq=142 Ack=433 Win=65536 Len=0 TSval=1131657481 TSecr=1131657481"
"153","40.181059","::1","::1","TCP","86","80  >  38388 [FIN, ACK] Seq=433 Ack=143 Win=65536 Len=0 TSval=1131657481 TSecr=1131657481"
"154","40.181074","::1","::1","TCP","86","38388  >  80 [ACK] Seq=143 Ack=434 Win=65536 Len=0 TSval=1131657481 TSecr=1131657481"
"155","40.280179","127.0.0.1","127.0.0.1","TCP","74","55932  >  20202 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=2286987168 TSecr=0 WS=128"
"156","40.280199","127.0.0.1","127.0.0.1","TCP","74","20202  >  55932 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=2286987168 TSecr=2286987168 WS=128"
"157","40.280214","127.0.0.1","127.0.0.1","TCP","66","55932  >  20202 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2286987168 TSecr=2286987168"
"158","40.280479","127.0.0.1","127.0.0.1","HTTP","430","GET /metrics HTTP/1.1 "
"159","40.280496","127.0.0.1","127.0.0.1","TCP","66","20202  >  55932 [ACK] Seq=1 Ack=365 Win=65152 Len=0 TSval=2286987169 TSecr=2286987169"
"160","40.280602","127.0.0.1","127.0.0.1","TCP","170","20202  >  55932 [PSH, ACK] Seq=1 Ack=365 Win=65536 Len=104 TSval=2286987169 TSecr=2286987169 [TCP segment of a reassembled PDU]"
"161","40.280619","127.0.0.1","127.0.0.1","TCP","66","55932  >  20202 [ACK] Seq=365 Ack=105 Win=65536 Len=0 TSval=2286987169 TSecr=2286987169"
"162","40.280632","127.0.0.1","127.0.0.1","TCP","109","20202  >  55932 [PSH, ACK] Seq=105 Ack=365 Win=65536 Len=43 TSval=2286987169 TSecr=2286987169 [TCP segment of a reassembled PDU]"
"163","40.280637","127.0.0.1","127.0.0.1","TCP","66","55932  >  20202 [ACK] Seq=365 Ack=148 Win=65536 Len=0 TSval=2286987169 TSecr=2286987169"
"164","40.280647","127.0.0.1","127.0.0.1","TCP","72","20202  >  55932 [PSH, ACK] Seq=148 Ack=365 Win=65536 Len=6 TSval=2286987169 TSecr=2286987169 [TCP segment of a reassembled PDU]"
"165","40.280651","127.0.0.1","127.0.0.1","TCP","66","55932  >  20202 [ACK] Seq=365 Ack=154 Win=65536 Len=0 TSval=2286987169 TSecr=2286987169"
"166","40.280675","127.0.0.1","127.0.0.1","TCP","23988","20202  >  55932 [PSH, ACK] Seq=154 Ack=365 Win=65536 Len=23922 TSval=2286987169 TSecr=2286987169 [TCP segment of a reassembled PDU]"
"167","40.280682","127.0.0.1","127.0.0.1","TCP","66","55932  >  20202 [ACK] Seq=365 Ack=24076 Win=52992 Len=0 TSval=2286987169 TSecr=2286987169"
"168","40.280692","127.0.0.1","127.0.0.1","TCP","68","20202  >  55932 [PSH, ACK] Seq=24076 Ack=365 Win=65536 Len=2 TSval=2286987169 TSecr=2286987169 [TCP segment of a reassembled PDU]"
"169","40.280696","127.0.0.1","127.0.0.1","TCP","66","55932  >  20202 [ACK] Seq=365 Ack=24078 Win=52992 Len=0 TSval=2286987169 TSecr=2286987169"
"170","40.280717","127.0.0.1","127.0.0.1","HTTP","71","HTTP/1.1 200 OK  (text/plain)"
"171","40.280720","127.0.0.1","127.0.0.1","TCP","66","55932  >  20202 [ACK] Seq=365 Ack=24083 Win=52992 Len=0 TSval=2286987169 TSecr=2286987169"
"172","41.191152","::1","::1","TCP","94","38404  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131658491 TSecr=0 WS=128"
"173","41.191165","::1","::1","TCP","94","80  >  38404 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131658491 TSecr=1131658491 WS=128"
"174","41.191176","::1","::1","TCP","86","38404  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131658491 TSecr=1131658491"
"175","41.191204","::1","::1","HTTP","247","GET /phpinfo.php HTTP/1.1 "
"176","41.191230","::1","::1","TCP","86","80  >  38404 [ACK] Seq=1 Ack=162 Win=65408 Len=0 TSval=1131658491 TSecr=1131658491"
"177","41.191452","::1","::1","HTTP","518","HTTP/1.1 404 Not Found  (text/html)"
"178","41.191463","::1","::1","TCP","86","38404  >  80 [ACK] Seq=162 Ack=433 Win=65152 Len=0 TSval=1131658492 TSecr=1131658492"
"179","41.191561","::1","::1","TCP","86","38404  >  80 [FIN, ACK] Seq=162 Ack=433 Win=65536 Len=0 TSval=1131658492 TSecr=1131658492"
"180","41.191634","::1","::1","TCP","86","80  >  38404 [FIN, ACK] Seq=433 Ack=163 Win=65536 Len=0 TSval=1131658492 TSecr=1131658492"
"181","41.191647","::1","::1","TCP","86","38404  >  80 [ACK] Seq=163 Ack=434 Win=65536 Len=0 TSval=1131658492 TSecr=1131658492"
"182","44.204193","::1","::1","TCP","94","38418  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131661504 TSecr=0 WS=128"
"183","44.204210","::1","::1","TCP","94","80  >  38418 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131661504 TSecr=1131661504 WS=128"
"184","44.204225","::1","::1","TCP","86","38418  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131661504 TSecr=1131661504"
"185","44.204258","::1","::1","HTTP","233","GET /backup.sql HTTP/1.1 "
